hostname,mgmt_ip,type,device_os,site,site_code,mgmt_port
SMG30RTR001,10.30.100.2,router,cisco_ios,cmo,30,22
SMG30RTR002,10.30.100.3,router,cisco_ios,cmo,30,22
SMG30SW001,10.30.100.10,switch,cisco_ios,cmo,30,22
SMG10NX001,10.10.100.4,router,cisco_nxos,colo,10,22
SMG10NX002,10.10.100.5,router,cisco_nxos,colo,10,22
SMG10RTR001,10.10.100.11,router,cisco_ios,colo,10,22
SMG10SW001,10.10.100.10,switch,cisco_ios,colo,10,22
SHCP10FW001,10.10.126.254,firewall,fortios,colo,10,10123
SMG20SW001,10.20.100.10,switch,cisco_ios,gannett,20,22
SMG20SW002A,10.20.100.20,switch,cisco_ios,gannett,20,22
SMG20SW002B,10.20.100.21,switch,cisco_ios,gannett,20,22
SMG20SW003,10.20.100.30,switch,cisco_ios,gannett,20,22
SMG20SW004,10.20.100.4,switch,cisco_ios,gannett,20,22
SMG20SW005,10.20.100.5,switch,cisco_ios,gannett,20,22
SMG20SW006,10.20.100.60,switch,cisco_ios,gannett,20,22
SMG-FG500D-A-PRI,10.20.126.4,firewall,fortios,gannett,20,10123
SMG-Nexus-1,10.20.140.2,router,cisco_nxos,gannett,20,22
SMG-Nexus-2,10.20.140.3,router,cisco_nxos,gannett,20,22
SMG20RTR001,10.20.100.101,router,cisco_ios,gannett,20,22
SMG20WAN,10.20.100.90,switch,cisco_ios,gannett,20,22
SMG-Core-3850,10.20.100.1,router,cisco_ios,gannett,20,22
SMGCUmmingsRdSRST,10.20.160.2,router,cisco_ios,gannett,20,22
EMMCSW001,172.23.26.1,switch,cisco_ios,emmc,80,22
EMMCSW002,172.23.26.2,switch,cisco_ios,emmc,80,22
SHCP-EMMC-100F,10.80.252.2,firewall,fortios,80,80,10123
SMG90SW001,192.168.9.2,switch,cisco_ios,norway,90,22
SMG-MON-FG60D,192.168.9.1,firewall,fortios,norway,90,10123
SMG70RTR001,10.70.100.2,router,cisco_ios,brunswick,70,22
SMG70RTR002,10.70.100.3,router,cisco_ios,brunswick,70,22
SMG70SW001,10.70.100.10,switch,cisco_ios,brunswick,70,22
SMG40RTR001,10.40.100.2,router,cisco_ios,portland,40,22
SMG40RTR002,10.40.100.3,router,cisco_ios,portland,40,22
SMG40SW001,10.40.100.10,switch,cisco_ios,portland,40,22
SMG40SW002,10.40.100.20,switch,cisco_ios,portland,40,22
SMG40SW003,10.40.100.30,switch,cisco_ios,portland,40,22
SMG40SW004,10.40.100.20,switch,cisco_ios,portland,40,22
SMG40FW001,10.40.126.4,firewall,fortios,portland,40,10123
SMG50RTR001,10.50.100.2,router,cisco_ios,saco,50,22
SMG50RTR002,10.50.100.3,router,cisco_ios,saco,50,22
SMG50SW001,10.50.100.10,switch,cisco_ios,saco,50,22
SMG60RTR001,10.60.100.2,router,cisco_ios,windham,60,22
SMG60RTR002,10.60.100.3,router,cisco_ios,windham,60,22
SMG60SW001,10.60.100.10,switch,cisco_ios,windham,60,22
SMG60SW002,10.60.100.9,switch,cisco_ios,windham,60,22